date,content_id,title,category,impressions,clicks,conversions,avg_dwell_sec,bounce_rate
2025-09-01,A101,10 Tips to Brew Coffee,Lifestyle,1598,208,32,34.0,0.53
2025-09-01,A102,Best Cameras 2025,Electronics,901,149,19,80.9,0.35
2025-09-01,A103,Healthy Breakfast Ideas,Lifestyle,1153,195,28,56.4,0.49
2025-09-01,A104,Travel Hacks Europe,Travel,886,173,15,82.2,0.27
2025-09-01,A105,Beginner’s Guide to Python,Education,1740,222,43,89.3,0.59
2025-09-02,A101,10 Tips to Brew Coffee,Lifestyle,1794,158,27,28.0,0.33
2025-09-02,A102,Best Cameras 2025,Electronics,1790,265,25,51.8,0.47
2025-09-02,A103,Healthy Breakfast Ideas,Lifestyle,1546,132,21,66.6,0.57
2025-09-02,A104,Travel Hacks Europe,Travel,445,97,7,86.5,0.41
2025-09-02,A105,Beginner’s Guide to Python,Education,447,94,14,39.3,0.55
2025-09-03,A101,10 Tips to Brew Coffee,Lifestyle,402,74,10,25.3,0.31
2025-09-03,A102,Best Cameras 2025,Electronics,914,73,6,52.2,0.57
2025-09-03,A103,Healthy Breakfast Ideas,Lifestyle,1025,194,18,89.1,0.52
2025-09-03,A104,Travel Hacks Europe,Travel,1971,400,34,70.6,0.41
2025-09-03,A105,Beginner’s Guide to Python,Education,1340,284,56,33.5,0.42
2025-09-04,A101,10 Tips to Brew Coffee,Lifestyle,551,115,15,66.1,0.45
2025-09-04,A102,Best Cameras 2025,Electronics,1468,222,31,72.5,0.49
2025-09-04,A103,Healthy Breakfast Ideas,Lifestyle,1999,218,18,80.4,0.56
2025-09-04,A104,Travel Hacks Europe,Travel,1913,373,57,85.8,0.49
2025-09-04,A105,Beginner’s Guide to Python,Education,765,96,8,29.5,0.36
2025-09-05,A101,10 Tips to Brew Coffee,Lifestyle,1449,279,19,38.3,0.52
2025-09-05,A102,Best Cameras 2025,Electronics,2196,272,20,52.5,0.52
2025-09-05,A103,Healthy Breakfast Ideas,Lifestyle,1561,336,49,43.3,0.42
2025-09-05,A104,Travel Hacks Europe,Travel,2087,218,26,33.5,0.35
2025-09-05,A105,Beginner’s Guide to Python,Education,1035,153,20,38.3,0.28
2025-09-06,A101,10 Tips to Brew Coffee,Lifestyle,420,49,5,30.0,0.52
2025-09-06,A102,Best Cameras 2025,Electronics,1888,180,15,81.9,0.49
2025-09-06,A103,Healthy Breakfast Ideas,Lifestyle,1607,235,31,30.2,0.38
2025-09-06,A104,Travel Hacks Europe,Travel,1164,172,31,77.8,0.28
2025-09-06,A105,Beginner’s Guide to Python,Education,520,62,11,44.7,0.36
2025-09-07,A101,10 Tips to Brew Coffee,Lifestyle,1020,90,6,63.6,0.33
2025-09-07,A102,Best Cameras 2025,Electronics,1676,209,15,75.2,0.53
2025-09-07,A103,Healthy Breakfast Ideas,Lifestyle,1698,280,28,52.0,0.48
2025-09-07,A104,Travel Hacks Europe,Travel,1395,207,25,36.3,0.26
2025-09-07,A105,Beginner’s Guide to Python,Education,485,63,6,89.4,0.41
2025-09-08,A101,10 Tips to Brew Coffee,Lifestyle,495,67,7,82.7,0.57
2025-09-08,A102,Best Cameras 2025,Electronics,811,103,14,32.9,0.44
2025-09-08,A103,Healthy Breakfast Ideas,Lifestyle,696,127,9,40.0,0.5
2025-09-08,A104,Travel Hacks Europe,Travel,1681,301,50,71.4,0.4
2025-09-08,A105,Beginner’s Guide to Python,Education,1511,284,44,40.8,0.32
2025-09-09,A101,10 Tips to Brew Coffee,Lifestyle,2103,222,18,41.2,0.57
2025-09-09,A102,Best Cameras 2025,Electronics,1470,135,11,66.9,0.53
2025-09-09,A103,Healthy Breakfast Ideas,Lifestyle,1842,349,59,39.0,0.37
2025-09-09,A104,Travel Hacks Europe,Travel,1714,277,43,60.9,0.36
2025-09-09,A105,Beginner’s Guide to Python,Education,780,93,18,72.4,0.48
2025-09-10,A101,10 Tips to Brew Coffee,Lifestyle,1736,307,47,31.7,0.26
2025-09-10,A102,Best Cameras 2025,Electronics,1771,357,31,80.9,0.27
2025-09-10,A103,Healthy Breakfast Ideas,Lifestyle,408,87,16,44.5,0.5
2025-09-10,A104,Travel Hacks Europe,Travel,2014,368,60,86.7,0.55
2025-09-10,A105,Beginner’s Guide to Python,Education,1965,260,35,44.7,0.54
2025-09-11,A101,10 Tips to Brew Coffee,Lifestyle,847,102,14,58.7,0.4
2025-09-11,A102,Best Cameras 2025,Electronics,723,116,17,85.0,0.25
